Unnamed: 0,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Cond,Foundation,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,TotRms_AbvGrd,Functional,Fireplaces,Garage_Type,Garage_Finish,Garage_Cars,Garage_Area,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,Three_season_porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,Sale_Price,Longitude,Latitude,Total_Bathrooms,House_Age,Years_Since_Remodel,Total_Porch_SF,Total_Living_Area,Total_Outdoor_Area
11,Two_Story_1946_and_Newer,Residential_Low_Density,75,10000,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,3,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1993,1994,Gable,CompShg,HdBoard,HdBoard,,0,3,PConc,3,1,1,7,1,0,763,763,GasA,4,Y,SBrkr,763,892,1655,0,0,2,1,3,1,7,8,1,Attchd,3,2,440,3,2,157,84,0,0,0,0,0,0,,0,4,2010,WD ,Normal,175900,-93.636947,42.05848,2.5,17,16,84,2418,241
12,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,7980,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,OneFam,One_Story,Good,1992,2007,Gable,CompShg,HdBoard,HdBoard,,0,4,PConc,3,1,5,1,1,0,233,1168,GasA,5,Y,SBrkr,1187,0,1187,1,0,2,0,3,1,6,8,0,Attchd,3,2,420,3,2,483,21,0,0,0,0,0,4,Shed,500,3,2010,WD ,Normal,185000,-93.635951,42.057419,3.0,18,3,21,2355,504
13,Two_Story_1946_and_Newer,Residential_Low_Density,63,8402,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,OneFam,Two_Story,Average,1998,1998,Gable,CompShg,VinylSd,VinylSd,,0,3,PConc,3,1,1,7,1,0,789,789,GasA,4,Y,SBrkr,789,676,1465,0,0,2,1,3,1,7,8,1,Attchd,3,2,393,3,2,0,75,0,0,0,0,0,0,,0,5,2010,WD ,Normal,180400,-93.638647,42.058151,2.5,12,12,75,2254,75
14,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,10176,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,OneFam,One_Story,Average,1990,1990,Gable,CompShg,HdBoard,HdBoard,,0,3,PConc,3,4,6,3,1,0,663,1300,GasA,4,Y,SBrkr,1341,0,1341,1,0,1,1,2,1,5,8,1,Attchd,1,2,506,3,2,192,0,0,0,0,0,0,0,,0,2,2010,WD ,Normal,171500,-93.634626,42.057268,2.5,20,20,0,2641,192
15,One_Story_PUD_1946_and_Newer,Residential_Low_Density,0,6820,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,3,Stone_Brook,Norm,Norm,TwnhsE,One_Story,Average,1985,1985,Gable,CompShg,HdBoard,HdBoard,,0,3,PConc,3,3,6,3,4,1120,0,1488,GasA,3,Y,SBrkr,1502,0,1502,1,0,1,1,1,1,4,8,0,Attchd,2,2,528,3,2,0,54,0,0,140,0,0,0,,0,6,2010,WD ,Normal,212000,-93.632913,42.059169,2.5,25,25,194,2990,194
16,Two_Story_1946_and_Newer,Residential_Low_Density,47,53504,Pave,No_Alley_Access,Moderately_Irregular,HLS,AllPub,CulDSac,2,Stone_Brook,Norm,Norm,OneFam,Two_Story,Average,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603,3,PConc,3,4,5,1,1,0,234,1650,GasA,5,Y,SBrkr,1690,1589,3279,1,0,3,1,4,1,12,7,1,BuiltIn,3,3,841,3,2,503,36,0,0,210,0,0,0,,0,6,2010,WD ,Normal,538000,-93.62655,42.061239,4.5,7,7,246,4929,749
17,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,152,12134,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,Inside,2,Gilbert,Norm,Norm,OneFam,One_and_Half_Fin,Good,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,,0,3,Wood,3,3,6,3,1,0,132,559,GasA,4,Y,SBrkr,1080,672,1752,0,0,2,0,4,1,8,8,0,Basment,2,2,492,3,2,325,12,0,0,0,0,0,0,,0,6,2010,WD ,Normal,164000,-93.6235954,42.0603514,2.0,22,5,12,2311,337
18,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,88,11394,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,3,Stone_Brook,Norm,Norm,OneFam,One_Story,Poor,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350,3,PConc,3,3,6,3,1,0,411,1856,GasA,5,Y,SBrkr,1856,0,1856,1,0,1,1,1,1,8,8,1,Attchd,3,3,834,3,2,113,0,0,0,0,0,0,0,,0,6,2010,New,Partial,394432,-93.628804,42.05885,2.5,0,0,0,3712,113
19,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,140,19138,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,3,Gilbert,Norm,Norm,OneFam,One_Story,Average,1951,1951,Gable,CompShg,VinylSd,VinylSd,,0,3,CBlock,3,1,2,4,1,0,744,864,GasA,5,Y,SBrkr,864,0,864,0,0,1,0,2,1,4,8,0,Detchd,1,2,400,3,2,0,0,0,0,0,0,0,0,,0,6,2010,WD ,Normal,141000,-93.622971,42.056673,1.0,59,59,0,1728,0
20,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,85,13175,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119,3,CBlock,3,1,5,1,3,163,589,1542,GasA,3,Y,SBrkr,2073,0,2073,1,0,2,0,3,1,7,6,2,Attchd,1,2,500,3,2,349,0,0,0,0,0,0,3,,0,2,2010,WD ,Normal,210000,-93.636655,42.054453,3.0,32,22,0,3615,349
21,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,105,11751,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northwest_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480,3,CBlock,3,1,4,2,1,0,1139,1844,GasA,5,Y,SBrkr,1844,0,1844,0,0,2,0,3,1,7,8,1,Attchd,2,2,546,3,2,0,122,0,0,0,0,0,3,,0,1,2010,COD,Normal,190000,-93.633962,42.050346,2.0,33,33,122,3688,122
22,Split_Foyer,Residential_Low_Density,85,10625,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Northwest_Ames,Norm,Norm,OneFam,SFoyer,Above_Average,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81,3,CBlock,3,4,6,3,2,168,0,1053,GasA,3,Y,SBrkr,1173,0,1173,1,0,2,0,3,1,6,8,2,Attchd,2,2,528,3,2,0,120,0,0,0,0,0,3,,0,1,2010,WD ,Family,170000,-93.636372,42.05027,3.0,36,36,120,2226,120
23,Two_Story_1946_and_Newer,Floating_Village_Residential,0,7500,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Somerset,Norm,Norm,OneFam,Two_Story,Average,2000,2000,Gable,CompShg,VinylSd,VinylSd,,0,3,PConc,3,1,6,3,1,0,281,814,GasA,5,Y,SBrkr,814,860,1674,1,0,2,1,3,1,7,8,0,Attchd,2,2,663,3,2,0,96,0,0,0,0,0,0,,0,1,2010,WD ,Normal,216000,-93.639366,42.049297,3.5,10,10,96,2488,96
24,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11241,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,3,North_Ames,Norm,Norm,OneFam,One_Story,Good,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180,3,CBlock,3,1,5,1,1,0,426,1004,GasA,5,Y,SBrkr,1004,0,1004,1,0,1,0,2,1,5,8,1,Attchd,3,2,480,3,2,0,0,0,0,0,0,0,0,Shed,700,3,2010,WD ,Normal,149000,-93.626231,42.055147,2.0,40,40,0,2008,0
25,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,12537,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,CulDSac,3,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1971,2008,Gable,CompShg,VinylSd,VinylSd,,0,3,CBlock,3,1,6,3,1,0,344,1078,GasA,5,Y,SBrkr,1078,0,1078,1,0,1,1,3,1,6,8,1,Attchd,3,2,500,3,2,0,0,0,0,0,0,0,0,,0,4,2010,WD ,Normal,149900,-93.626537,42.054592,2.5,39,2,0,2156,0
26,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,65,8450,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,North_Ames,Norm,Norm,OneFam,One_Story,Above_Average,1968,1968,Gable,CompShg,VinylSd,VinylSd,,0,3,CBlock,3,1,4,2,1,0,281,1056,GasA,5,Y,SBrkr,1056,0,1056,1,0,1,0,3,1,6,8,1,Attchd,1,1,304,3,2,0,85,184,0,0,0,0,0,,0,7,2010,WD ,Normal,142000,-93.628806,42.055227,2.0,42,42,269,2112,269
27,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,8400,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,3,North_Ames,Norm,Norm,OneFam,One_Story,Average,1970,1970,Gable,CompShg,Plywood,Plywood,,0,3,CBlock,3,1,5,1,3,78,0,882,GasA,3,Y,SBrkr,882,0,882,1,0,1,0,2,1,4,8,0,Attchd,3,2,525,3,2,240,0,0,0,0,0,0,3,,0,4,2010,WD ,Normal,126000,-93.627112,42.053395,2.0,40,40,0,1764,240
28,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10500,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,3,North_Ames,Norm,Norm,OneFam,One_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,,0,3,CBlock,3,1,5,1,1,0,432,864,GasA,3,Y,SBrkr,864,0,864,0,0,1,0,3,1,5,8,1,No_Garage,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,4,2010,ConLI,Normal,115000,-93.622769,42.056375,1.0,39,39,0,1728,0
29,One_Story_PUD_1946_and_Newer,Residential_High_Density,26,5858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,FR2,3,North_Ames,Norm,Norm,TwnhsE,One_Story,Average,1999,1999,Gable,CompShg,MetalSd,MetalSd,,0,3,PConc,3,1,6,3,4,0,354,1405,GasA,5,Y,SBrkr,1337,0,1337,1,0,2,0,2,1,5,8,1,Attchd,3,2,511,3,2,203,68,0,0,0,0,0,0,,0,6,2010,WD ,Normal,184000,-93.624373,42.055318,3.0,11,11,68,2742,271
30,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,3,CBlock,3,1,3,6,1,0,327,483,GasA,3,Y,SBrkr,483,504,987,0,0,1,1,2,1,5,8,0,Detchd,1,1,264,3,2,275,0,0,0,0,0,0,0,,0,2,2010,COD,Normal,96000,-93.627271,42.051835,1.5,39,39,0,1470,275
31,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,3,CBlock,3,1,3,6,1,0,225,525,GasA,3,Y,SBrkr,525,567,1092,0,0,1,1,3,1,6,8,0,Detchd,1,1,320,3,2,0,0,0,0,0,0,0,0,,0,3,2010,WD ,Normal,105500,-93.627536,42.051684,1.5,39,39,0,1617,0
32,Two_Story_PUD_1946_and_Newer,Residential_Medium_Density,21,1680,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Briardale,Norm,Norm,Twnhs,Two_Story,Average,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381,3,CBlock,3,1,1,7,1,0,525,525,GasA,3,Y,SBrkr,525,567,1092,0,0,1,1,3,1,6,8,0,Detchd,1,1,264,3,2,0,0,0,0,0,0,0,0,,0,3,2010,WD ,Family,88000,-93.62728,42.051685,1.5,39,39,0,1617,0
33,One_Story_PUD_1946_and_Newer,Residential_Low_Density,53,4043,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Northpark_Villa,Norm,Norm,TwnhsE,One_Story,Average,1977,1977,Gable,CompShg,Plywood,Plywood,,0,3,CBlock,3,1,5,1,1,0,709,1069,GasA,3,Y,SBrkr,1069,0,1069,0,0,2,0,2,1,4,8,1,Attchd,2,2,440,3,2,0,55,0,0,165,0,0,0,,0,7,2010,WD ,Normal,127500,-93.627232,42.049672,2.0,33,33,220,2138,220
34,Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,3,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0,3,CBlock,3,1,5,1,1,0,341,855,GasA,3,Y,SBrkr,855,601,1456,0,0,2,1,3,1,6,8,1,Attchd,1,2,440,3,2,173,0,0,0,0,0,0,0,,0,6,2010,WD ,Normal,149900,-93.625924,42.050683,2.5,35,35,0,2311,173
35,One_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,FR2,3,Northpark_Villa,Norm,Norm,Twnhs,One_Story,Above_Average,1975,1975,Gable,CompShg,Plywood,Brk Cmn,,0,3,CBlock,3,1,1,7,1,0,836,836,GasA,5,Y,SBrkr,836,0,836,0,0,1,0,2,1,4,8,0,Attchd,1,1,308,3,2,0,30,0,0,0,0,0,0,,0,6,2010,WD ,Normal,120000,-93.625966,42.050681,1.0,35,35,30,1672,30
36,Two_Story_PUD_1946_and_Newer,Residential_Low_Density,24,2280,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Northpark_Villa,Norm,Norm,Twnhs,Two_Story,Average,1978,1978,Gable,CompShg,Plywood,Brk Cmn,,0,3,CBlock,3,1,5,1,1,0,544,855,GasA,2,Y,SBrkr,855,601,1456,0,0,2,1,3,1,7,8,1,Attchd,1,2,440,3,2,26,0,0,0,0,0,0,0,,0,7,2010,WD ,Normal,146000,-93.625848,42.049811,2.5,32,32,0,2311,26
37,Two_Story_1946_and_Newer,Residential_Low_Density,102,12858,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,OneFam,Two_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,3,PConc,3,1,1,7,1,0,1590,1590,GasA,5,Y,SBrkr,1627,707,2334,0,0,2,1,3,1,10,8,1,Attchd,3,3,751,3,2,144,133,0,0,0,0,0,0,,0,1,2010,New,Partial,376162,-93.653201,42.062352,2.5,1,0,133,3924,277
38,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,98,11478,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200,3,PConc,3,1,6,3,1,0,486,1704,GasA,5,Y,SBrkr,1704,0,1704,1,0,2,0,3,1,7,8,1,Attchd,2,3,772,3,2,0,50,0,0,0,0,0,0,,0,5,2010,WD ,Normal,306000,-93.654645,42.062109,3.0,3,2,50,3408,50
39,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,83,10159,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450,3,PConc,3,3,6,3,1,0,284,1930,GasA,5,Y,SBrkr,1940,0,1940,1,0,2,1,3,1,8,8,1,Attchd,3,3,606,3,2,168,95,0,0,0,0,0,0,,0,4,2010,New,Partial,395192,-93.6537329,42.0611331,3.5,1,0,95,3870,263
40,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,94,12883,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Corner,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,3,PConc,3,1,1,7,1,0,1544,1544,GasA,5,Y,SBrkr,1544,0,1544,0,0,2,0,3,1,7,8,0,Attchd,2,3,868,3,2,0,35,0,0,0,0,0,0,,0,6,2010,New,Partial,290941,-93.6528306,42.0612885,2.0,1,0,35,3088,35
41,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,95,12182,Pave,No_Alley_Access,Regular,Lvl,AllPub,Corner,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,3,PConc,3,2,4,2,1,0,340,1541,GasA,5,Y,SBrkr,1541,0,1541,0,0,2,0,3,1,7,8,1,Attchd,2,2,532,3,2,0,70,0,0,0,0,0,0,,0,5,2010,New,Partial,220000,-93.652713,42.060872,2.0,5,5,70,3082,70
42,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,90,11520,Pave,No_Alley_Access,Regular,Lvl,AllPub,Inside,3,Northridge_Heights,PosN,Norm,OneFam,One_Story,Average,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,3,PConc,3,1,6,3,1,0,1588,1698,GasA,5,Y,SBrkr,1698,0,1698,0,0,2,0,3,1,7,8,1,Attchd,3,3,730,3,2,192,74,0,0,0,0,0,0,,0,6,2010,WD ,Normal,275000,-93.65332,42.0608079,2.0,5,5,74,3396,266
43,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,79,14122,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,3,PConc,3,1,6,3,1,0,1794,1822,GasA,5,Y,SBrkr,1822,0,1822,0,0,2,0,3,1,8,8,1,Attchd,2,3,678,3,2,0,119,0,0,0,0,0,0,,0,2,2010,WD ,Normal,259000,-93.652336,42.060879,2.0,5,4,119,3644,119
44,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,70,10171,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168,3,PConc,3,1,6,3,1,0,1515,1517,GasA,5,Y,SBrkr,1535,0,1535,0,0,2,0,3,1,7,8,0,Attchd,2,2,532,3,2,0,0,0,0,0,0,0,0,,0,3,2010,WD ,Normal,214000,-93.652307,42.060298,2.0,6,6,0,3052,0
45,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,100,12919,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,OneFam,One_Story,Average,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,760,3,PConc,3,4,6,3,1,0,142,2330,GasA,5,Y,SBrkr,2364,0,2364,1,0,2,1,2,1,11,8,2,Attchd,3,3,820,3,2,0,67,0,0,0,0,0,0,,0,3,2010,New,Partial,611657,-93.655051,42.059617,3.5,1,0,67,4694,67
46,One_Story_PUD_1946_and_Newer,Residential_Low_Density,44,6371,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,Inside,3,Northridge_Heights,Norm,Norm,TwnhsE,One_Story,Average,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128,3,PConc,3,2,6,3,1,0,625,1358,GasA,5,Y,SBrkr,1358,0,1358,1,0,2,0,2,1,6,8,1,Attchd,2,2,484,3,2,192,35,0,0,0,0,0,0,,0,6,2010,New,Partial,224000,-93.650436,42.058388,3.0,1,0,35,2716,227
